Complexity metrics,sábado, 4 dez 2021 22:17:09 GMT
Method,CogC,ev(G),iv(G),v(G)
"null.addResultToList(Path,boolean,String)",0,n/a,n/a,n/a
"null.call()",4,n/a,n/a,n/a
"null.changed(ObservableValue<? extends Boolean>,Boolean,Boolean)",9,n/a,n/a,n/a
"null.checkClientTrusted(X509Certificate[],String)",0,n/a,n/a,n/a
"null.checkServerTrusted(X509Certificate[],String)",0,n/a,n/a,n/a
"null.compare(Integer,Integer)",0,n/a,n/a,n/a
"null.computeValue()",0,n/a,n/a,n/a
"null.containsKey(String)",0,n/a,n/a,n/a
"null.createDetailsButton()",0,n/a,n/a,n/a
"null.error(SAXParseException)",0,n/a,n/a,n/a
"null.execute()",0,n/a,n/a,n/a
"null.execute(BstEntry)",0,n/a,n/a,n/a
"null.export(BibDatabaseContext,Path,Charset,List<BibEntry>)",0,n/a,n/a,n/a
"null.fatalError(SAXParseException)",0,n/a,n/a,n/a
"null.format(String)",0,1,1,1
"null.fromString(String)",0,1,1,1
"null.getAcceptedIssuers()",0,n/a,n/a,n/a
"null.getDescription()",0,1,1,1
"null.getIcon()",0,1,1,1
"null.getKeyBinding()",0,n/a,n/a,n/a
"null.getKeys()",0,n/a,n/a,n/a
"null.getStyleableProperty(TitledPane)",1,2,1,2
"null.getText()",0,1,1,1
"null.getUserText()",0,n/a,n/a,n/a
"null.handleGetObject(String)",0,n/a,n/a,n/a
"null.interpolate(double)",0,n/a,n/a,n/a
"null.invalidated()",0,1,1,1
"null.isCancelled()",0,n/a,n/a,n/a
"null.isSettable(TitledPane)",1,1,2,2
"null.load(BibEntry)",2,n/a,n/a,n/a
"null.lookupTextField()",8,n/a,n/a,n/a
"null.onSuccess(Consumer<Void>)",1,n/a,n/a,n/a
"null.run()",0,n/a,n/a,n/a
"null.startEdit()",0,n/a,n/a,n/a
"null.succeeded()",3,n/a,n/a,n/a
"null.toString(Field)",1,1,2,2
"null.toString(MainTableColumnModel)",2,2,2,2
"null.toString(Month)",5,n/a,n/a,n/a
"null.toString(ParsedEntryLink)",1,n/a,n/a,n/a
"null.toString(T)",1,n/a,n/a,n/a
"null.toString(TemporalAccessor)",2,n/a,n/a,n/a
"null.toString(TreeItem<T>)",2,n/a,n/a,n/a
"null.updateItem(BibEntryType,boolean)",1,n/a,n/a,n/a
"null.updateItem(LogEventViewModel,boolean)",3,n/a,n/a,n/a
"null.updateItem(S,boolean)",14,n/a,n/a,n/a
"null.updateItem(T,boolean)",5,n/a,n/a,n/a
"null.warning(SAXParseException)",0,n/a,n/a,n/a
"org.jabref.JabRefPreferencesTest.getDefaultEncodingReturnsPreviouslyStoredEncoding()",0,1,1,1
"org.jabref.JabRefPreferencesTest.setUp()",0,1,1,1
"org.jabref.TestIconsProperties.testExistenceOfIconImagesReferencedFromIconsProperties()",2,1,3,3
"org.jabref.architecture.MainArchitectureTests.doNotUseApacheCommonsLang3(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.doNotUseAssertJ(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.doNotUseGlazedLists(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.doNotUseGlyphsDirectly(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.doNotUseJGoodies(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.doNotUseJavaAWT(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.doNotUseLogicInModel(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.doNotUsePaths(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.doNotUseSwing(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.respectLayeredArchitecture(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.restrictUsagesInLogic(JavaClasses)",0,1,1,1
"org.jabref.architecture.MainArchitectureTests.restrictUsagesInModel(JavaClasses)",0,1,1,1
"org.jabref.architecture.TestArchitectureTests.TestArchitectureTests()",0,1,1,1
"org.jabref.architecture.TestArchitectureTests.data()",0,1,1,1
"org.jabref.architecture.TestArchitectureTests.testsAreIndependent(String)",4,1,1,3
"org.jabref.benchmarks.Benchmarks.getOutputWriter()",0,1,1,1
"org.jabref.benchmarks.Benchmarks.htmlToLatexConversion()",0,1,1,1
"org.jabref.benchmarks.Benchmarks.inferBibDatabaseMode()",0,1,1,1
"org.jabref.benchmarks.Benchmarks.init()",1,1,2,2
"org.jabref.benchmarks.Benchmarks.keywordGroupContains()",0,1,1,1
"org.jabref.benchmarks.Benchmarks.latexToHTMLConversion()",0,1,1,1
"org.jabref.benchmarks.Benchmarks.latexToUnicodeConversion()",0,1,1,1
"org.jabref.benchmarks.Benchmarks.main(String[])",0,1,1,1
"org.jabref.benchmarks.Benchmarks.parallelSearch()",0,1,1,1
"org.jabref.benchmarks.Benchmarks.parse()",0,1,1,1
"org.jabref.benchmarks.Benchmarks.search()",0,1,1,1
"org.jabref.benchmarks.Benchmarks.write()",0,1,1,1
"org.jabref.cli.ArgumentProcessor.ArgumentProcessor(String[],Mode,PreferencesService)",0,1,1,1
"org.jabref.cli.ArgumentProcessor.automaticallySetFileLinks(List<ParserResult>)",1,1,2,2
"org.jabref.cli.ArgumentProcessor.doAuxImport(List<ParserResult>)",3,1,3,3
"org.jabref.cli.ArgumentProcessor.exportFile(List<ParserResult>,String[])",14,1,7,7
"org.jabref.cli.ArgumentProcessor.exportMatches(List<ParserResult>)",10,1,4,6
"org.jabref.cli.ArgumentProcessor.fetch(String)",9,4,6,6
"org.jabref.cli.ArgumentProcessor.generateAux(List<ParserResult>,String[])",7,2,5,5
"org.jabref.cli.ArgumentProcessor.getParserResults()",0,1,1,1
"org.jabref.cli.ArgumentProcessor.hasParserResults()",0,1,1,1
"org.jabref.cli.ArgumentProcessor.importAndOpenFiles()",28,1,16,16
"org.jabref.cli.ArgumentProcessor.importBibtexToOpenBase(String,ImportFormatPreferences)",1,1,2,2
"org.jabref.cli.ArgumentProcessor.importFile(Path,String)",3,2,3,3
"org.jabref.cli.ArgumentProcessor.importFile(String)",12,2,7,8
"org.jabref.cli.ArgumentProcessor.importPreferences()",1,1,2,2
"org.jabref.cli.ArgumentProcessor.importToOpenBase(String)",0,1,1,1
"org.jabref.cli.ArgumentProcessor.isBlank()",0,1,1,1
"org.jabref.cli.ArgumentProcessor.processArguments()",39,5,33,33
"org.jabref.cli.ArgumentProcessor.regenerateCitationKeys(List<ParserResult>)",3,1,3,3
"org.jabref.cli.ArgumentProcessor.resetPreferences(String)",9,1,5,5
"org.jabref.cli.ArgumentProcessor.saveDatabase(BibDatabase,String)",2,1,3,3
"org.jabref.cli.ArgumentProcessor.shouldShutDown()",1,1,3,3
